home_team,away_team,result,home_lineup,away_lineup
Wolverhampton Wanderers,Sunderland,home,Wayne Hennessey - Jody Craddock - Christophe Berra - Ronald Zubar - David Edwards - Stephen Ward - Stephen Hunt - Matthew Jarvis - Jamie O'Hara - Steven Fletcher  - Kevin Doyle - ,Keiren Westwood - Phil Bardsley - Wes Brown - John O'Shea - Lee Cattermole - Sebastian Larsson - Kieran Richardson  - Jack Colback - Stéphane Sessegnon - Dong-Won Ji - Nicklas Bendtner - 
Fulham,Liverpool,home,Mark Schwarzer - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Danny Murphy - Dickson Etuhu - Clint Dempsey  - Bryan Ruiz - Bobby Zamora - Mousa Dembélé - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Jordan Henderson - Jay Spearing - Charlie Adam - Luis Suárez - Andy Carroll - Craig Bellamy - 
Arsenal,Everton,home,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Johan Djourou - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Robin van Persie - Gervinho - ,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Phil Jagielka - Diniyar Bilyaletdinov - Tim Cahill - Phil Neville - Séamus Coleman - Marouane Fellaini - Louis Saha - 
Bolton Wanderers,Aston Villa,away,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Zat Knight - Dedryck Boyata - Chris Eagles - Mark Davies - Darren Pratley - Tuncay Sanli - Kevin Davies - Ivan Klasnic - ,Brad Guzan - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Marc Albrighton  - Chris Herd - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Darren Bent - 
Liverpool,Queens Park Rangers,home,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Maxi Rodríguez - Jordan Henderson - Dirk Kuyt - Stewart Downing - Charlie Adam - Luis Suárez - ,Radek Cerny - Armand Traore - Danny Gabbidon - Luke Young - Anton Ferdinand - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Tommy Smith - Jay Bothroyd - 
Manchester United,Wolverhampton Wanderers,home,David de Gea - Patrice Evra - Phil Jones - Rio Ferdinand - Jonny Evans - Chris Smalling - Michael Carrick - Nani  - Luis Antonio Valencia - Wayne Rooney  - Danny Welbeck - ,Wayne Hennessey - Roger Johnson - Christophe Berra - Ronald Zubar - David Edwards - Karl Henry - Stephen Ward - Matthew Jarvis - Jamie O'Hara - Steven Fletcher - Kevin Doyle - 
Norwich City,Newcastle United,home,John Ruddy - Russell Martin - Zak Whitbread - Marc Tierney - Kyle Naughton - Andrew Crofts - Wes Hoolahan  - David Fox - Andrew Surman - Grant Holt  - Steve Morison - ,Tim Krul - Davide Santon - Ryan Taylor - Danny Simpson - James Perch - Yohan Cabaye - Gabriel Obertan - Dan Gosling  - Jonás Gutiérrez - Demba Ba  - Shola Ameobi - 
Swansea City,Fulham,home,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Leon Britton - Wayne Routledge - Mark Gower - Jazz Richards - Scott Sinclair - Leroy Lita - Luke Moore - ,Mark Schwarzer - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Dickson Etuhu - Clint Dempsey - Simon Davies - Andrew Johnson - Bryan Ruiz - Mousa Dembélé - 
West Bromwich Albion,Wigan Athletic,away,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid  - James Morrison - Chris Brunt - Jerome Thomas - Youssouf Mulumbu - Shane Long - Peter Odemwingie - ,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Victor Moses - Jordi Gómez Pen. Scored - Mohamed Diamé - Conor Sammon - 
Stoke City,Tottenham Hotspur,home,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Ryan Shotton - Jonathan Woodgate - Glenn Whelan - Dean Whitehead - Matthew Etherington  - Jonathan Walters - Peter Crouch - ,Brad Friedel - Kyle Walker - Younes Kaboul  - William Gallas - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart - Gareth Bale - Luka Modric - Emmanuel AdebayorPen. Scored - 
Sunderland,Blackburn Rovers,home,Keiren Westwood - Phil Bardsley - Wes Brown - John O'Shea - Titus Bramble - Sebastian Larsson - Kieran Richardson - Jack Colback - David Vaughan - Stéphane Sessegnon - Connor Wickham - ,Paul Robinson - Míchel Salgado - Christopher Samba - Scott Dann - Gaël Givet - Jason Lowe - David Dunn - Morten Gamst Pedersen - Simon Vukcevic - Mauro Formica - Yakubu - 
Chelsea,Manchester City,home,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Oriol Romeu - Ramires - Raul Meireles  - Juan Mata - Didier Drogba - Daniel Sturridge - ,Joe Hart - Vincent Kompany - Pablo Zabaleta - Joleon Lescott - Gaël Clichy  - James Milner - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero - Mario Balotelli - 
Blackburn Rovers,West Bromwich Albion,away,Paul Robinson - Christopher Samba - Scott Dann - Jason Lowe - David Dunn - Morten Gamst Pedersen - Steven Nzonzi - Simon Vukcevic - Mauro Formica - Rubén Rochina - Yakubu - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid - James Morrison - Chris Brunt - Youssouf Mulumbu - Paul Scharner - Shane Long - Peter Odemwingie - 
Everton,Norwich City,tie,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Phil Jagielka - Tim Cahill - Phil Neville - Leon Osman - Marouane Fellaini - Louis Saha - Magaye Gueye - ,John Ruddy - Russell Martin - Zak Whitbread - Marc Tierney - Kyle Naughton - Andrew Crofts - Wes Hoolahan - David Fox - Andrew Surman - Grant Holt - Steve Morison - 
Fulham,Bolton Wanderers,home,David Stockdale - John Arne Riise - Philippe Senderos - Brede Hangeland - Chris Baird - Danny Murphy - Dickson Etuhu - Clint Dempsey - Andrew Johnson - Bryan Ruiz - Mousa Dembélé - ,Jussi Jääskeläinen - Marcos Alonso - Gary Cahill - Zat Knight - Dedryck Boyata - Fabrice Muamba - Mark Davies - Nigel Reo-Coker - Darren Pratley - Kevin Davies - Ivan Klasnic - 
Newcastle United,Swansea City,tie,Tim Krul - Fabricio Coloccini - Davide Santon - Danny Simpson - James Perch - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Leon Best - ,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Leon Britton - Wayne Routledge - Joe Allen - Mark Gower - Jazz Richards - Danny Graham - Scott Sinclair - 
Wigan Athletic,Chelsea,tie,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Victor Moses - Jordi Gómez - Mohamed Diamé - Conor Sammon - ,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Oriol Romeu - Frank Lampard - Raul Meireles - Juan Mata - Didier Drogba - Daniel Sturridge - 
Wolverhampton Wanderers,Stoke City,away,Wayne Hennessey - Roger Johnson - Christophe Berra - Ronald Zubar - Karl Henry - Stephen Ward - Stephen HuntPen. Scored - Matthew Jarvis - Nenad Milijas - Steven Fletcher - Kevin DoyleOwn  - ,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Ryan Shotton - Jonathan Woodgate - Glenn Whelan - Dean Whitehead - Matthew Etherington - Jonathan Walters - Peter Crouch - 
Aston Villa,Liverpool,away,Brad Guzan - Stephen Warnock - Richard Dunne - James Collins - Alan Hutton - Marc Albrighton - Fabian Delph - Stiliyan Petrov - Charles N'Zogbia - Emile Heskey - Nathan Delfouneso - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Jordan Henderson - Stewart Downing - Charlie Adam - Jonjo Shelvey - Luis Suárez - Craig Bellamy  - 
Manchester City,Arsenal,home,Joe Hart - Micah Richards - Vincent Kompany - Pablo Zabaleta - Kolo Touré - Samir Nasri - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero - Mario Balotelli - ,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Johan Djourou - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Robin van Persie - Gervinho - 
Queens Park Rangers,Manchester United,away,Radek Cerny - Matthew Connolly - Armand Traore - Danny Gabbidon - Luke Young - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Heidar Helguson - Jay Bothroyd - ,David de Gea - Patrice Evra - Phil Jones - Rio Ferdinand - Jonny Evans - Chris Smalling - Michael Carrick - Nani - Luis Antonio Valencia - Wayne Rooney - Danny Welbeck - 
Tottenham Hotspur,Sunderland,home,Brad Friedel - Kyle Walker - William Gallas - Ledley King - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart - Luka Modric - Sandro - Emmanuel Adebayor - ,Keiren Westwood - Phil Bardsley - Wes Brown - John O'Shea - Titus Bramble - Sebastian Larsson - Kieran Richardson - Jack Colback - David Vaughan - Stéphane Sessegnon - Connor Wickham - 
Blackburn Rovers,Bolton Wanderers,away,Paul Robinson - Christopher Samba - Grant Hanley - Jason Lowe - David Dunn - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Simon Vukcevic - Mauro Formica - Yakubu - ,Jussi Jääskeläinen - Grétar Steinsson - Marcos Alonso - Gary Cahill - Zat Knight - Fabrice Muamba - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - Ivan Klasnic - 
Wolverhampton Wanderers,Norwich City,tie,Wayne Hennessey - Roger Johnson - Christophe Berra - Ronald Zubar  - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Nenad Milijas - Sylvan Ebanks-Blake - Steven Fletcher - ,John Ruddy - Russell Martin - Zak Whitbread - Marc Tierney - Kyle Naughton - Andrew Crofts - Wes Hoolahan - David Fox - Andrew Surman - Grant Holt - Steve Morison - 
Aston Villa,Arsenal,away,Brad Guzan - Stephen Warnock - Richard Dunne - Ciaran Clark - Carlos Cuellar - Alan Hutton  - Marc Albrighton - Stiliyan Petrov - Charles N'Zogbia - Stephen Ireland - Gabriel Agbonlahor - ,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Aaron Ramsey - Mikel Arteta - Theo Walcott - Emmanuel Frimpong - Francis Coquelin - Robin van PersiePen. Scored  - Gervinho - 
Everton,Swansea City,home,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Phil Jagielka - Royston Drenthe - Phil Neville - Leon Osman - Séamus Coleman - Marouane Fellaini - Louis Saha - ,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Leon Britton - Wayne Routledge - Joe Allen - Mark Gower - Jazz Richards - Danny Graham - Scott Sinclair - 
Fulham,Manchester United,away,David Stockdale - John Arne Riise - Philippe Senderos - Brede Hangeland - Chris Baird - Danny Murphy - Dickson Etuhu - Clint Dempsey - Andrew Johnson - Bryan Ruiz - Mousa Dembélé - ,Anders Lindegaard - Patrice Evra - Phil Jones - Jonny Evans - Chris Smalling - Ryan Giggs - Michael Carrick - Nani - Luis Antonio Valencia - Wayne Rooney - Danny Welbeck - 
Manchester City,Stoke City,home,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - Samir Nasri - Adam Johnson  - Gareth Barry - David Silva - Yaya Touré - Sergio Agüero  - ,Thomas Sørensen - Robert Huth - Marc Wilson - Matt Upson - Ryan Shotton - Jonathan Woodgate - Wilson Palacios - Dean Whitehead - Kenwyne Jones - Jonathan Walters - Cameron Jerome - 
Newcastle United,West Bromwich Albion,away,Tim Krul - Fabricio Coloccini - Davide Santon - Danny Simpson - James Perch - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Haris Vuckic - Demba Ba  - Leon Best - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid - Chris Brunt - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Shane Long - Peter Odemwingie - 
Queens Park Rangers,Sunderland,away,Paddy Kenny - Matthew Connolly - Armand Traore - Danny Gabbidon - Luke Young - Shaun Derry - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Heidar Helguson - ,Keiren Westwood - Phil Bardsley - Wes Brown - John O'Shea - Titus Bramble - Lee Cattermole - Sebastian Larsson - Kieran Richardson - David Vaughan - Stéphane Sessegnon  - Nicklas Bendtner - 
Wigan Athletic,Liverpool,tie,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Victor Moses - Jordi Gómez - Mohamed Diamé - Conor Sammon - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Maxi Rodríguez - Jordan Henderson - Dirk Kuyt - Stewart Downing - Charlie Adam - Luis Suárez - 
Tottenham Hotspur,Chelsea,tie,Brad Friedel - Kyle Walker - William Gallas - Ledley King - Benoit Assou-Ekotto - Scott Parker - Rafael van der Vaart - Gareth Bale - Luka Modric - Sandro - Emmanuel Adebayor  - ,Petr Cech - Branislav Ivanovic - Ashley Cole - José Bosingwa - John Terry - Ramires - John Obi Mikel - Raul Meireles - Juan Mata - Didier Drogba - Daniel Sturridge - 
Bolton Wanderers,Newcastle United,away,Jussi Jääskeläinen - Paul Robinson - Gary Cahill - Zat Knight - Dedryck Boyata - Fabrice Muamba - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - Ivan Klasnic - ,Tim Krul - Fabricio Coloccini - Ryan Taylor - Danny Simpson - Mike Williamson - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Leon Best - 
Chelsea,Fulham,tie,Petr Cech - Ashley Cole - David Luiz - José Bosingwa - John Terry - Oriol Romeu - Frank Lampard - Raul Meireles - Fernando Torres - Juan Mata - Daniel Sturridge - ,David Stockdale - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Danny Murphy - Kerim Frei - Clint Dempsey  - Orlando Sá - Bryan Ruiz - Mousa Dembélé - 
Liverpool,Blackburn Rovers,tie,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Maxi Rodríguez - Jordan Henderson - Stewart Downing - Charlie AdamOwn  - Luis Suárez - Andy Carroll - ,Mark Bunn - Adam Henley - Christopher Samba - Grant Hanley - Jason Lowe - David Dunn - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Yakubu - 
Manchester United,Wigan Athletic,home,Anders Lindegaard - Patrice Evra - Jonny Evans - Ryan Giggs - Park Ji-Sung - Michael Carrick - Nani - Luis Antonio Valencia - Darron Gibson - Dimitar Berbatov  Pen. Scored - Chicharito - ,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Victor Moses - Jordi Gómez - Mohamed Diamé - Conor Sammon - 
Stoke City,Aston Villa,tie,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Ryan Shotton - Jonathan Woodgate - Wilson Palacios - Dean Whitehead - Matthew Etherington - Kenwyne Jones - Jonathan Walters - ,Brad Guzan - Stephen Warnock - Richard Dunne - James Collins - Ciaran Clark - Carlos Cuellar - Marc Albrighton - Stiliyan Petrov - Charles N'Zogbia - Gabriel Agbonlahor - Emile Heskey - 
Sunderland,Everton,tie,Keiren Westwood - Phil Bardsley - Wes Brown - John O'Shea - Titus Bramble - Lee Cattermole - Sebastian Larsson - Kieran Richardson - David Vaughan - Stéphane Sessegnon - Nicklas Bendtner - ,Tim Howard - Tony Hibbert - Leighton BainesPen. Scored - John Heitinga - Phil Jagielka - Sylvain Distin - Royston Drenthe - Tim Cahill - Phil Neville - Leon Osman - Louis Saha - 
West Bromwich Albion,Manchester City,tie,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Billy Jones - Chris Brunt - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Shane Long - Peter Odemwingie - ,Joe Hart - Vincent Kompany - Pablo Zabaleta - Gaël Clichy - Kolo Touré - James Milner - Samir Nasri - David Silva - Yaya Touré - Sergio Agüero - Mario Balotelli - 
Arsenal,Wolverhampton Wanderers,tie,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Johan Djourou - Tomas Rosicky - Mikel Arteta - Alexandre Song - Yossi Benayoun - Robin van Persie - Gervinho - ,Wayne Hennessey - Roger Johnson - Christophe Berra - Ronald Zubar - Karl Henry - Stephen Ward - Anthony Forde - Stephen Hunt - Matthew Jarvis - Nenad Milijas - Steven Fletcher - 
Norwich City,Tottenham Hotspur,away,John Ruddy - Adam Drury - Russell Martin - Zak Whitbread - Ritchie de Laet - Andrew Crofts - Wes Hoolahan - David Fox - Andrew Surman - Grant Holt - Steve Morison - ,Brad Friedel - Kyle Walker - Younes Kaboul - William Gallas - Benoit Assou-Ekotto - Scott Parker - Rafael van der Vaart - Gareth Bale  - Luka Modric - Sandro - Emmanuel Adebayor - 
Swansea City,Queens Park Rangers,tie,Michel Vorm - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Wayne Routledge - Joe Allen - Kemy Agustien - Jazz Richards - Danny Graham - Scott Sinclair - ,Paddy Kenny - Armand Traore - Fitz Hall - Clint Hill - Luke Young - Shaun Derry - Joey Barton - Adel Taarabt - Jamie Mackie - Alejandro Faurlin - Heidar Helguson - 
Liverpool,Newcastle United,home,Pepe Reina - Glen Johnson - José Enrique - Daniel AggerOwn  - Martin Skrtel - Jordan Henderson - Stewart Downing - Jay Spearing - Charlie Adam - Andy Carroll - Craig Bellamy  - ,Tim Krul - Fabricio Coloccini - Ryan Taylor - Danny Simpson - Mike Williamson - Yohan Cabaye - Gabriel Obertan - Jonás Gutiérrez - Cheick Tioté - Haris Vuckic - Demba Ba - 
Arsenal,Queens Park Rangers,home,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Johan Djourou - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Andrey Arshavin - Robin van Persie - ,Radek Cerny - Matthew Connolly - Armand Traore - Danny Gabbidon - Luke Young - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Jamie Mackie - Alejandro Faurlin - Jay Bothroyd - 
Bolton Wanderers,Wolverhampton Wanderers,tie,Jussi Jääskeläinen - Grétar Steinsson - Gary Cahill - Zat Knight - Sam Ricketts - Fabrice Muamba - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - Ivan Klasnic - ,Wayne Hennessey - Roger Johnson - George Elokobi - Richard Stearman - Christophe Berra - Karl Henry - Stephen Ward - Stephen Hunt - Matthew Jarvis - Sylvan Ebanks-Blake - Steven Fletcher - 
Chelsea,Aston Villa,away,Petr Cech - Ashley Cole - David Luiz - Paulo Ferreira - John Terry - Oriol Romeu - Ramires - Raul Meireles - Juan Mata - Didier DrogbaPen. Scored - Daniel Sturridge - ,Brad Guzan - Stephen Warnock - Richard Dunne - James Collins - Ciaran Clark - Carlos Cuellar - Marc Albrighton - Stiliyan Petrov - Charles N'Zogbia - Stephen Ireland - Gabriel Agbonlahor - 
Manchester United,Blackburn Rovers,away,David de Gea - Rafael - Patrice Evra - Phil Jones - Park Ji-Sung - Michael Carrick - Nani - Luis Antonio Valencia - Dimitar Berbatov  - Chicharito - Danny Welbeck - ,Mark Bunn - Adam Henley - Christopher Samba - Grant Hanley - Jason Lowe - Radosav Petrovic - Morten Gamst Pedersen - Steven Nzonzi - Mauro Formica - Rubén Rochina - YakubuPen. Scored  - 
Norwich City,Fulham,tie,John Ruddy - Russell Martin - Zak Whitbread - Kyle Naughton - Daniel Ayala - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - David Fox - Andrew Surman - Steve Morison - ,David Stockdale - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Danny Murphy - Kerim Frei - Clint Dempsey - Orlando Sá - Bryan Ruiz - Mousa Dembélé - 
Stoke City,Wigan Athletic,tie,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Andy Wilkinson - Jermaine Pennant - Wilson Palacios - Rory Delap - Matthew Etherington - Jonathan WaltersPen. Scored - Peter Crouch - ,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Victor Moses  - Jordi Gómez - Mohamed Diamé - Hugo Rodallega - 
Swansea City,Tottenham Hotspur,tie,Michel Vorm - Neil Taylor - Ashley Williams - Garry Monk - Nathan Dyer - Joe Allen - Mark Gower - Jazz Richards - Scott Sinclair - Stephen Dobbie - Luke Moore - ,Brad Friedel - Kyle Walker - Younes Kaboul - William Gallas - Benoit Assou-Ekotto - Scott Parker - Rafael van der Vaart - Gareth Bale - Luka Modric - Sandro - Emmanuel Adebayor - 
Sunderland,Manchester City,home,Simon Mignolet - Wes Brown - John O'Shea - Lee Cattermole - Sebastian Larsson - Craig Gardner - Jack Colback - David Vaughan - James McClean - Stéphane Sessegnon - Nicklas Bendtner - ,Joe Hart - Vincent Kompany - Pablo Zabaleta - Joleon Lescott - Aleksandar Kolarov - Samir Nasri - Adam Johnson - Gareth Barry - Nigel de Jong - Yaya Touré - Edin Dzeko - 
West Bromwich Albion,Everton,away,Ben Foster - Nicky Shorey - Gareth McAuley - Craig Dawson - Billy Jones - James Morrison - Chris Brunt - Jerome Thomas - Paul Scharner - Shane Long - Peter Odemwingie - ,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Phil Jagielka - Sylvain Distin - Jack Rodwell - Tim Cahill - Phil Neville - Leon Osman - Louis Saha - 
Aston Villa,Swansea City,away,Brad Guzan - Stephen Warnock - Richard Dunne - James Collins - Ciaran Clark - Carlos Cuellar - Stiliyan Petrov - Charles N'Zogbia - Stephen Ireland - Gabriel Agbonlahor - Darren Bent - ,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Andrea Orlandi - Nathan Dyer - Wayne Routledge - Kemy Agustien - Danny Graham - 
Blackburn Rovers,Stoke City,away,Mark Bunn - Adam Henley - Christopher Samba - Grant Hanley - Jason Lowe - David Dunn - Radosav Petrovic - Morten Gamst Pedersen - Steven Nzonzi - Mauro Formica - Yakubu - ,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Ryan Shotton - Jonathan Woodgate - Glenn Whelan - Dean Whitehead - Matthew Etherington - Jonathan Walters - Peter Crouch  - 
Fulham,Arsenal,home,David Stockdale - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Steve Sidwell - Danny Murphy - Clint Dempsey - Bryan Ruiz - Bobby Zamora - Mousa Dembélé - ,Wojciech Szczesny - Per Mertesacker - Laurent Koscielny - Johan Djourou  - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alexandre Song - Francis Coquelin - Robin van Persie - Gervinho - 
Queens Park Rangers,Norwich City,away,Paddy Kenny - Danny Gabbidon - Clint Hill - Luke Young - Anton Ferdinand - Shaun Derry - Joey Barton  - Adel Taarabt - Jamie Mackie - Alejandro Faurlin - Heidar Helguson - ,John Ruddy - Adam Drury - Russell Martin - Zak Whitbread - Daniel Ayala - Bradley Johnson - Anthony Pilkington - Elliott Bennett - Simon Lappin - Grant Holt - Simeon Jackson - 
Wolverhampton Wanderers,Chelsea,away,Wayne Hennessey - Roger Johnson - Richard Stearman - Christophe Berra - David Edwards - Karl Henry - Stephen Ward - Anthony Forde - Emmanuel Frimpong - Adam Hammill - Kevin Doyle - ,Petr Cech - Ashley Cole - David Luiz - José Bosingwa - John Terry - Oriol Romeu - Ramires - Frank Lampard  - Raul Meireles - Fernando Torres - Juan Mata - 
Manchester City,Liverpool,home,Joe Hart - Micah Richards - Vincent Kompany - Gaël Clichy - Kolo Touré - James MilnerPen. Scored - Gareth Barry  - David Silva - Yaya Touré - Sergio Agüero - Edin Dzeko - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Jordan Henderson - Dirk Kuyt - Stewart Downing - Jay Spearing - Charlie Adam - Andy Carroll - 
Tottenham Hotspur,West Bromwich Albion,home,Brad Friedel - Kyle Walker - Younes Kaboul - William Gallas - Benoit Assou-Ekotto - Rafael van der Vaart - Gareth Bale - Luka Modric - Sandro - Emmanuel Adebayor - Jermain Defoe - ,Ben Foster - Nicky Shorey - Gareth McAuley - Craig Dawson - Billy Jones - Jerome Thomas - George Thorne - Graham Dorrans - Paul Scharner - Peter Odemwingie - Simon Cox - 
Wigan Athletic,Sunderland,away,Ali Al Habsi - Steve Gohouri - Antolín Alcaraz - Ronnie Stam - Maynor Figueroa - James McCarthy - David Jones - Albert Crusat - Ben Watson - Jordi Gómez - Hugo Rodallega - ,Simon Mignolet - Matthew Kilgallon - John O'Shea - Lee Cattermole - Craig Gardner - Kieran Richardson - Jack Colback - David Vaughan - James McClean - Stéphane Sessegnon - Nicklas Bendtner - 
Everton,Bolton Wanderers,away,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Phil Jagielka - Sylvain Distin - Phil Neville - Leon Osman - Landon Donovan - Louis Saha - Denis Stracqualursi - ,Adam Bogdan - Grétar Steinsson - Gary Cahill  - Zat Knight - Sam Ricketts - Fabrice Muamba - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog  - 
Tottenham Hotspur,Everton,home,Brad Friedel - Kyle Walker - Younes Kaboul - Michael Dawson - Benoit Assou-Ekotto - Aaron Lennon  - Rafael van der Vaart - Gareth Bale - Luka Modric - Jake Livermore - Emmanuel Adebayor - ,Tim Howard - Leighton Baines - John Heitinga - Sylvain Distin - Diniyar Bilyaletdinov - Tim Cahill - Phil Neville - Marouane Fellaini - Landon Donovan - Louis Saha - Victor Anichebe - 
Newcastle United,Manchester United,home,Tim Krul - Fabricio Coloccini - Davide Santon - Ryan Taylor - Danny Simpson - Mike Williamson - Yohan Cabaye - Jonás Gutiérrez - Cheick Tioté - Demba Ba - Shola Ameobi - ,Anders Lindegaard - Patrice Evra - Phil Jones Own  - Rio Ferdinand - Ryan Giggs - Park Ji-Sung - Michael Carrick - Nani - Luis Antonio Valencia - Dimitar Berbatov - Wayne Rooney - 
Aston Villa,Everton,tie,Shay Given - Stephen Warnock - Richard Dunne - James Collins - Ciaran Clark - Alan Hutton - Marc Albrighton - Stiliyan Petrov - Stephen Ireland - Gabriel Agbonlahor - Darren Bent - ,Tim Howard - Leighton Baines - John Heitinga - Shane Duffy - Darron Gibson - Royston Drenthe - Tim Cahill - Phil Neville - Marouane Fellaini - Landon Donovan - Louis Saha - 
Blackburn Rovers,Fulham,home,Paul Robinson - Martin Olsson - Grant Hanley - Gaël Givet - Jason Lowe - David Dunn - Radosav Petrovic - Morten Gamst Pedersen  - Steven Nzonzi - David Junior Hoilett - Yakubu - ,David Stockdale - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Danny Murphy - Damien Duff - Clint Dempsey - Bryan Ruiz - Bobby Zamora - Mousa Dembélé - 
Chelsea,Sunderland,home,Petr Cech - Ashley Cole - David Luiz - José Bosingwa - John Terry - Oriol Romeu - Ramires - Frank Lampard - Raul Meireles - Fernando Torres - Juan Mata - ,Simon Mignolet - Phil Bardsley - Matthew Kilgallon - John O'Shea - Lee Cattermole - Sebastian Larsson - Kieran Richardson - David Vaughan - James McClean - Stéphane Sessegnon - Nicklas Bendtner - 
